iter	Passed	Remaining
308	970	2171
309	972	2164
310	974	2158
311	976	2152
312	978	2147
313	980	2142
314	986	2146
315	988	2139
316	990	2133
317	991	2126
318	993	2120
319	994	2113
320	996	2107
321	999	2104
322	1005	2106
323	1007	2101
324	1008	2095
325	1010	2089
326	1012	2083
327	1019	2089
328	1021	2084
329	1023	2078
330	1025	2072
331	1027	2066
332	1029	2063
333	1031	2057
334	1033	2052
335	1036	2048
336	1039	2044
337	1040	2038
338	1042	2032
339	1044	2028
340	1047	2025
341	1049	2019
342	1050	2013
343	1053	2008
344	1056	2005
345	1058	2000
346	1061	1997
347	1063	1991
348	1064	1986
349	1066	1980
350	1067	1974
351	1069	1968
352	1071	1963
353	1073	1958
354	1075	1953
355	1076	1947
356	1078	1942
357	1079	1936
358	1081	1931
359	1083	1925
360	1084	1920
361	1086	1915
362	1090	1913
363	1092	1909
364	1094	1903
365	1095	1898
366	1097	1892
367	1098	1887
368	1100	1882
369	1102	1876
370	1105	1873
371	1106	1868
372	1108	1863
373	1110	1858
374	1112	1853
375	1113	1848
376	1115	1843
377	1116	1837
378	1119	1833
379	1120	1828
380	1122	1823
381	1124	1818
382	1126	1814
383	1128	1810
384	1130	1805
385	1132	1800
386	1133	1796
387	1135	1791
388	1137	1786
389	1138	1781
390	1140	1776
391	1142	1771
392	1144	1767
393	1146	1763
394	1148	1758
395	1150	1754
396	1152	1749
397	1153	1744
398	1155	1739
399	1156	1735
400	1158	1730
401	1159	1725
402	1161	1720
403	1165	1719
404	1167	1714
405	1168	1710
406	1171	1706
407	1172	1701
408	1174	1696
409	1175	1692
410	1177	1687
411	1180	1685
412	1183	1681
413	1185	1677
414	1186	1672
415	1188	1668
416	1189	1663
417	1191	1658
418	1192	1653
419	1194	1649
420	1197	1646
421	1199	1642
422	1201	1639
423	1203	1634
424	1205	1630
425	1206	1625
426	1208	1621
427	1211	1618
428	1212	1614
429	1214	1610
430	1216	1606
431	1219	1603
432	1221	1599
433	1222	1594
434	1224	1590
435	1226	1586
436	1228	1582
437	1230	1578
438	1232	1574
439	1233	1570
440	1235	1565
441	1237	1562
442	1239	1558
443	1242	1555
444	1243	1551
445	1245	1546
446	1246	1542
447	1248	1538
448	1249	1533
449	1251	1529
450	1252	1525
451	1254	1521
452	1259	1520
453	1260	1516
454	1262	1511
455	1263	1507
456	1265	1503
457	1266	1499
458	1268	1495
459	1270	1491
460	1273	1488
461	1275	1485
462	1277	1481
463	1278	1477
464	1280	1473
465	1282	1469
466	1283	1465
467	1287	1463
468	1292	1463
469	1294	1460
470	1296	1455
471	1297	1451
472	1299	1447
473	1300	1443
474	1303	1440
475	1305	1436
476	1306	1432
477	1308	1428
478	1310	1424
479	1312	1422
480	1314	1418
481	1316	1414
482	1318	1411
483	1320	1407
484	1322	1403
485	1323	1400
486	1325	1396
487	1327	1392
488	1329	1389
489	1331	1385
490	1334	1383
491	1335	1379
492	1337	1375
493	1338	1371
494	1340	1367
495	1342	1363
496	1343	1359
497	1345	1356
498	1349	1354
499	1351	1351
500	1352	1347
501	1354	1343
502	1355	1339
503	1357	1336
504	1359	1332
505	1360	1328
506	1362	1324
507	1364	1321
508	1366	1318
509	1369	1315
510	1371	1312
511	1372	1308
512	1374	1304
513	1375	1300
514	1377	1297
515	1380	1294
516	1381	1290
517	1383	1287
518	1385	1284
519	1387	1280
520	1389	1277
521	1390	1273
522	1392	1269
523	1395	1267
524	1396	1263
525	1398	1260
526	1400	1257
527	1402	1253
528	1404	1250
529	1406	1247
530	1408	1243
531	1410	1240
532	1412	1237
533	1414	1234
534	1417	1232
535	1421	1230
536	1427	1231
537	1430	1228
538	1433	1225
539	1441	1227
540	1442	1224
541	1444	1220
542	1446	1217
543	1448	1214
544	1450	1211
545	1455	1210
546	1457	1207
547	1459	1203
548	1461	1200
549	1463	1197
550	1464	1193
551	1466	1190
552	1469	1187
553	1470	1184
554	1472	1180
555	1475	1178
556	1477	1174
557	1479	1171
558	1491	1176
559	1493	1173
560	1496	1170
561	1498	1167
562	1508	1171
563	1511	1168
564	1514	1166
565	1525	1169
566	1527	1166
567	1528	1162
568	1530	1159
569	1533	1156
570	1536	1154
571	1538	1151
572	1541	1148
573	1544	1146
574	1547	1143
575	1556	1145
576	1558	1142
577	1560	1139
578	1563	1136
579	1565	1133
580	1567	1130
581	1569	1127
582	1571	1123
583	1572	1120
584	1574	1116
585	1575	1113
586	1578	1110
587	1579	1106
588	1581	1103
589	1586	1102
590	1588	1099
591	1590	1096
592	1592	1093
593	1594	1090
594	1596	1086
595	1598	1083
596	1599	1079
597	1605	1079
598	1606	1075
599	1608	1072
600	1610	1069
601	1612	1066
602	1614	1063
603	1616	1059
604	1625	1061
605	1628	1058
606	1631	1056
607	1632	1052
608	1634	1049
609	1635	1045
610	1640	1044
611	1644	1042
612	1646	1039
613	1648	1036
614	1651	1033
615	1660	1035
616	1662	1031
617	1664	1028
618	1666	1025
619	1670	1024
620	1672	1020
621	1674	1017
622	1676	1014
623	1679	1011
624	1680	1008
625	1682	1005
626	1684	1002
627	1686	999
628	1688	995
629	1689	992
630	1691	989
631	1693	985
632	1695	982
633	1698	980
634	1701	977
635	1702	974
636	1704	971
637	1705	967
638	1707	964
639	1709	961
640	1712	959
641	1717	957
642	1719	954
643	1720	951
644	1723	948
645	1725	945
646	1727	942
647	1729	939
648	1733	937
649	1736	935
650	1738	931
651	1740	928
652	1741	925
653	1743	922
654	1746	920
655	1749	917
656	1752	915
657	1754	911
658	1756	908
659	1758	905
660	1759	902
661	1762	899
662	1764	896
663	1766	893
664	1768	891
665	1771	888
666	1773	885
667	1775	882
668	1777	879
669	1779	876
670	1780	873
671	1782	870
672	1784	866
673	1785	863
674	1787	860
675	1789	857
676	1792	855
677	1794	852
678	1795	848
679	1798	846
680	1799	843
681	1801	839
682	1803	836
683	1805	834
684	1809	831
685	1810	828
686	1812	825
687	1813	822
688	1815	819
689	1816	816
690	1818	813
691	1819	810
692	1821	806
693	1827	805
694	1829	802
695	1830	799
696	1832	796
697	1833	793
698	1835	790
699	1836	787
700	1839	784
701	1842	781
702	1844	779
703	1846	776
704	1847	773
705	1849	770
706	1851	767
707	1852	764
708	1855	761
709	1856	758
710	1858	755
711	1861	752
712	1864	750
713	1866	747
714	1869	744
715	1870	742
716	1872	739
717	1875	736
718	1876	733
719	1878	730
720	1881	727
721	1884	725
722	1885	722
723	1887	719
724	1888	716
725	1890	713
726	1892	710
727	1893	707
728	1895	704
729	1897	701
730	1902	700
731	1904	697
732	1906	694
733	1908	691
734	1909	688
735	1911	685
736	1913	682
737	1918	681
738	1920	678
739	1927	677
740	1929	674
741	1938	674
742	1941	671
743	1942	668
744	1944	665
745	1947	663
746	1949	660
747	1951	657
748	1953	654
749	1958	652
750	1959	649
751	1963	647
752	1965	644
753	1966	641
754	1968	638
755	1970	635
756	1972	633
757	1974	630
758	1976	627
759	1979	625
760	1980	622
761	1982	619
762	1984	616
763	1986	613
764	1987	610
765	1989	607
766	1991	604
767	1994	602
768	1996	599
769	1998	596
770	1999	593
771	2001	591
772	2002	588
773	2004	585
774	2006	582
775	2008	579
776	2011	577
777	2014	574
778	2016	571
779	2017	569
780	2019	566
781	2020	563
782	2022	560
783	2025	558
784	2027	555
785	2030	552
786	2031	549
787	2033	547
788	2035	544
789	2036	541
790	2038	538
791	2040	535
792	2042	533
793	2046	530
794	2049	528
795	2050	525
796	2052	522
797	2055	520
798	2057	517
799	2058	514
800	2060	511
801	2061	509
802	2063	506
803	2065	503
804	2067	500
805	2070	498
806	2071	495
807	2073	492
808	2074	489
809	2076	487
810	2077	484
811	2079	481
812	2081	478
813	2084	476
814	2086	473
815	2087	470
816	2089	468
817	2091	465
818	2092	462
819	2094	459
820	2095	456
821	2097	454
822	2104	452
823	2105	449
824	2107	447
825	2108	444
826	2110	441
827	2112	438
828	2113	436
829	2116	433
830	2118	430
831	2120	428
832	2122	425
833	2124	422
834	2125	420
835	2127	417
836	2129	414
837	2131	412
838	2133	409
839	2134	406
840	2136	403
841	2138	401
842	2140	398
843	2142	395
844	2143	393
845	2146	390
846	2148	388
847	2149	385
848	2151	382
849	2153	379
850	2158	377
851	2161	375
852	2163	372
853	2165	370
854	2167	367
855	2170	365
856	2172	362
857	2174	359
858	2179	357
859	2182	355
860	2184	352
861	2186	349
862	2188	347
863	2190	344
864	2193	342
865	2195	339
866	2198	337
867	2200	334
868	2201	331
869	2203	329
870	2208	327
871	2210	324
872	2212	321
873	2213	319
874	2215	316
875	2219	314
876	2221	311
877	2223	308
878	2225	306
879	2227	303
880	2229	301
881	2231	298
882	2234	296
883	2236	293
884	2237	290
885	2239	288
886	2241	285
887	2245	283
888	2247	280
889	2250	278
890	2252	275
891	2254	272
892	2255	270
893	2257	267
894	2259	265
895	2261	262
896	2263	259
897	2265	257
898	2267	254
899	2269	252
900	2271	249
901	2272	246
902	2276	244
903	2278	241
904	2280	239
905	2282	236
906	2284	234
907	2285	231
908	2287	228
909	2289	226
910	2291	223
911	2294	221
912	2297	218
913	2299	216
914	2301	213
915	2303	211
916	2309	209
917	2310	206
918	2314	204
919	2317	201
920	2319	198
921	2322	196
922	2323	193
923	2325	191
924	2327	188
925	2330	186
926	2332	183
927	2335	181
928	2337	178
929	2339	176
930	2340	173
931	2343	170
932	2345	168
933	2347	165
934	2351	163
935	2353	160
936	2354	158
937	2356	155
938	2358	153
939	2360	150
940	2361	148
941	2363	145
942	2366	143
943	2368	140
944	2370	137
945	2372	135
946	2373	132
947	2375	130
948	2377	127
949	2379	125
950	2382	122
951	2384	120
952	2386	117
953	2388	115
954	2390	112
955	2391	110
956	2393	107
957	2396	105
958	2398	102
959	2405	100
960	2407	97
961	2409	95
962	2411	92
963	2413	90
964	2415	87
965	2416	85
966	2418	82
967	2420	80
968	2424	77
969	2428	75
970	2430	72
971	2432	70
972	2434	67
973	2436	65
974	2438	62
975	2439	59
976	2443	57
977	2445	55
978	2447	52
979	2449	49
980	2451	47
981	2453	44
982	2455	42
983	2459	39
984	2461	37
985	2463	34
986	2465	32
987	2467	29
988	2469	27
989	2473	24
990	2475	22
991	2478	19
992	2480	17
993	2481	14
994	2483	12
995	2487	9
996	2490	7
997	2500	5
998	2503	2
999	2505	0
